"","Sample.Isolated.From","Phylum","mean","sd","se"
"1","leaf","Animalia",1.7890505866289,9.29559252100754,0.204955667469602
"2","leaf","Apicomplexa",0.00916689714468889,0.0335898170520418,0.00245633069416335
"3","leaf","Cercozoa",1.48752430587956,2.99136656732468,0.218750388114037
"4","leaf","Chlorophyta",0.39256689314271,0.967245953251736,0.0707320292961554
"5","leaf","Ciliophora",7.03853763433865,15.6195881274669,1.14221740738401
"6","leaf","Diatomea",43.959979416548,27.1693986642977,1.98682320233174
"7","leaf","Dinoflagellata",0.294422274579271,0.571467266762601,0.0417898253474793
"8","leaf","Florideophycidae",10.9191897650332,21.6206379069338,1.58105762933784
"9","leaf","Fungi",0.501595467793614,2.12064992146294,0.109656196917739
"10","leaf","Holozoa",0.558607367385438,1.14382279998273,0.0836446071715256
"11","leaf","Labyrinthulomycetes",0.91858286021424,6.83718074392997,0.4999841736809
"12","leaf","Ochrophyta",7.49072695439509,9.31115620851649,0.680899177202824
"13","leaf","Peronosporomycetes",1.51205628090505,2.6790617188574,0.195912395753505
"14","leaf","Protalveolata",0.0780796194872906,0.295954095827626,0.0216423069086221
"15","leaf","Unclassified",4.08794637404483,8.29795446213428,0.606806527482147
"16","root","Animalia",3.06995285389379,11.5842409229236,0.255417373892068
"17","root","Apicomplexa",0.50936771834453,3.53919948846726,0.258811898940095
"18","root","Cercozoa",9.75132601105224,16.1253531229899,1.17920260681549
"19","root","Chlorophyta",0.207536145336844,0.326893660905053,0.023904831984183
"20","root","Ciliophora",3.76456698843473,9.47631364837113,0.692976685343337
"21","root","Diatomea",17.845324977681,16.2055407646171,1.18506650792325
"22","root","Dinoflagellata",0.958749372532886,1.67764204311171,0.122681336368389
"23","root","Florideophycidae",2.26076865375001,6.9541254689604,0.508536018937089
"24","root","Fungi",0.123015977816671,0.362494820902623,0.0187441609575696
"25","root","Holozoa",0.157851494712335,0.302447803916209,0.0221171738741733
"26","root","Labyrinthulomycetes",0.907908334403421,2.85206148812157,0.208563391817829
"27","root","Ochrophyta",1.29696815146338,3.07759690843918,0.225056175172048
"28","root","Peronosporomycetes",18.9350988185693,24.5713132355918,1.79683237937783
"29","root","Protalveolata",0.0536774691961851,0.106340766006617,0.00777640697411948
"30","root","Unclassified",8.8454801145926,12.5995927312526,0.921373471959765
"31","sediment","Animalia",2.38815685029757,9.34809159912367,0.208925246234841
"32","sediment","Apicomplexa",1.06731349574196,1.74931955125643,0.129668192199073
"33","sediment","Cercozoa",7.39449919587163,11.5221786555862,0.854080705490037
"34","sediment","Chlorophyta",2.97016891164369,4.98070129477557,0.369194143124545
"35","sediment","Ciliophora",2.08772941958639,2.54539402794809,0.188677158384977
"36","sediment","Diatomea",20.9430790682626,20.4579708713848,1.51644569286867
"37","sediment","Dinoflagellata",21.5708207403447,19.1726989780613,1.42117500160369
"38","sediment","Florideophycidae",0.659966114716168,2.90935990481043,0.215656104136194
"39","sediment","Fungi",0.227596029231467,0.666731544757829,0.0349462284266906
"40","sediment","Holozoa",0.259712765325887,0.541561622708267,0.040143218276238
"41","sediment","Labyrinthulomycetes",0.111918625559445,0.383251433426017,0.0284084863136422
"42","sediment","Ochrophyta",1.45202500161525,2.63147680675083,0.195058038481359
"43","sediment","Peronosporomycetes",0.564386779933647,1.17094647378036,0.0867963273536415
"44","sediment","Protalveolata",0.402538352556783,0.672264698965995,0.0498315748723925
"45","sediment","Unclassified",12.923080938836,10.761144829391,0.79766912512772
